2022-04-07 17:17:47,173 ********Appium Server Starting********
2022-04-07 17:17:48,396 Could not connect to port 4723 on host 127.0.0.1
2022-04-07 17:17:48,396 Could not get IP address for host: 127.0.0.1
2022-04-07 17:18:03,182 ********Android Driver created********
2022-04-07 17:18:03,182 *********LS10 Device Setup beggining*********
2022-04-07 17:18:04,290 Hurry Google Home app Launched Successfully and Staretd automating the App
2022-04-07 17:18:06,665 Choose a Account You will be able to control the devices and Services in this Home
2022-04-07 17:18:12,745 'Click on OK button in Choose a Account screen'
2022-04-07 17:18:21,046 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F303460>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:23,096 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F303670>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:25,146 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F303760>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:29,236 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F303C70>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:31,279 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F303E20>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:33,317 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F303F10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:37,396 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F329460>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:39,437 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F329610>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
2022-04-07 17:18:41,466 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002330F329700>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/2e295596-85f9-4d73-83d2-961dd6ff05c2/element
